method,fraction_of_orbit,steps_per_orbit,dt,n_steps,position_error,force_evals,runtime_s,runtime_per_step_us
euler,0.25,50,0.02,12,0.09041782462508278,12,9.295798372477293e-05,7.746498643731077
euler_cromer,0.25,50,0.02,12,0.0740184297294944,12,7.516599725931883e-05,6.263833104943235
verlet,0.25,50,0.02,12,0.0014785425879380797,24,0.00012399989645928144,10.33332470494012
rk4,0.25,50,0.02,12,2.4311457030828597e-07,48,0.00030570803210139275,25.47566934178273
euler,0.25,100,0.01,25,0.05192698714527475,25,0.00014691706746816635,5.876682698726654
euler_cromer,0.25,100,0.01,25,0.03935722483837195,25,0.00014754198491573334,5.9016793966293335
verlet,0.25,100,0.01,25,0.000394551300439817,50,0.00024850002955645323,9.94000118225813
rk4,0.25,100,0.01,25,1.7438989745388647e-08,100,0.0006245420081540942,24.98168032616377
euler,0.25,200,0.005,50,0.026804589787508003,50,0.00027558300644159317,5.511660128831863
euler_cromer,0.25,200,0.005,50,0.01968563793882648,50,0.0002704999642446637,5.409999284893274
verlet,0.25,200,0.005,50,9.866474530517638e-05,100,0.0004900840576738119,9.801681153476238
rk4,0.25,200,0.005,50,1.1545827900941555e-09,200,0.001243292004801333,24.86584009602666
euler,0.25,400,0.0025,100,0.01362998732452919,100,0.0005568750202655792,5.568750202655792
euler_cromer,0.25,400,0.0025,100,0.009843372651176322,100,0.000544707989320159,5.44707989320159
verlet,0.25,400,0.0025,100,2.466787287176657e-05,200,0.0010325830662623048,10.325830662623048
rk4,0.25,400,0.0025,100,7.440940440537993e-11,400,0.0025880420580506325,25.880420580506325
euler,0.25,800,0.00125,200,0.00687434640989474,200,0.0010829169768840075,5.414584884420037
euler_cromer,0.25,800,0.00125,200,0.004921675453453137,200,0.0010719170095399022,5.359585047699511
verlet,0.25,800,0.00125,200,6.1670736899686656e-06,400,0.0019755829125642776,9.877914562821388
rk4,0.25,800,0.00125,200,4.724536445006008e-12,800,0.005060457973740995,25.302289868704975
euler,0.25,1600,0.000625,400,0.0034523330563409416,400,0.0021494169486686587,5.373542371671647
euler_cromer,0.25,1600,0.000625,400,0.002460816422256429,400,0.002144708065316081,5.361770163290203
verlet,0.25,1600,0.000625,400,1.5417750129252753e-06,800,0.0040098330937325954,10.024582734331489
rk4,0.25,1600,0.000625,400,2.9657899498749194e-13,1600,0.010460334015078843,26.150835037697107
euler,0.25,3200,0.0003125,800,0.001729997900527991,800,0.004300958011299372,5.376197514124215
euler_cromer,0.25,3200,0.0003125,800,0.0012304005666986914,800,0.004440041026100516,5.550051282625645
verlet,0.25,3200,0.0003125,800,3.8544416451461207e-07,1600,0.007962667034007609,9.953333792509511
rk4,0.25,3200,0.0003125,800,1.7674876079315655e-14,3200,0.020593042019754648,25.74130252469331
euler,0.25,6400,0.00015625,1600,0.0008659620472967777,1600,0.008653583005070686,5.408489378169179
euler_cromer,0.25,6400,0.00015625,1600,0.0006151980827697015,1600,0.008762499899603426,5.4765624372521415
verlet,0.25,6400,0.00015625,1600,9.636106270537838e-08,3200,0.015653166105039418,9.783228815649636
rk4,0.25,6400,0.00015625,1600,1.5100665727558131e-15,6400,0.060492250020615757,37.80765626288485
euler,0.25,12800,7.8125e-05,3200,0.000433222459590027,3200,0.017522084061056376,5.475651269080117
euler_cromer,0.25,12800,7.8125e-05,3200,0.0003075984550807876,3200,0.01706654205918312,5.333294393494725
verlet,0.25,12800,7.8125e-05,3200,2.409026603723265e-08,6400,0.03205316700041294,10.016614687629044
rk4,0.25,12800,7.8125e-05,3200,1.0152320308569013e-14,12800,0.08028983301483095,25.09057281713467
euler,1.0,50,0.02,50,2.8762745625427866,50,0.00028237502556294203,5.647500511258841
euler_cromer,1.0,50,0.02,50,0.05022247196301171,50,0.0002674579154700041,5.349158309400082
verlet,1.0,50,0.02,50,0.04063646451129169,100,0.0004962499951943755,9.92499990388751
rk4,1.0,50,0.02,50,0.0004003582084660619,200,0.0012337910011410713,24.675820022821426
euler,1.0,100,0.01,100,2.049776862602519,100,0.0005409590667113662,5.409590667113662
euler_cromer,1.0,100,0.01,100,0.0127177414942409,100,0.0005377919878810644,5.377919878810644
verlet,1.0,100,0.01,100,0.010326236644536248,200,0.0009792909258976579,9.792909258976579
rk4,1.0,100,0.01,100,1.985977474352141e-05,400,0.002511583035811782,25.11583035811782
euler,1.0,200,0.005,200,1.3277097999418053,200,0.0010612501064315438,5.306250532157719
euler_cromer,1.0,200,0.005,200,0.0031898615266048426,200,0.0010663329157978296,5.331664578989148
verlet,1.0,200,0.005,200,0.0025922941570654537,400,0.001960374996997416,9.80187498498708
rk4,1.0,200,0.005,200,1.0742210755728085e-06,800,0.005114917061291635,25.574585306458175
euler,1.0,400,0.0025,400,0.7878172949240696,400,0.002211041981354356,5.5276049533858895
euler_cromer,1.0,400,0.0025,400,0.0007981222888524852,400,0.002226417069323361,5.566042673308402
verlet,1.0,400,0.0025,400,0.0006487491583893247,800,0.0039518330013379455,9.879582503344864
rk4,1.0,400,0.0025,400,6.188300045802605e-08,1600,0.022142792004160583,55.35698001040146
euler,1.0,800,0.00125,800,0.43657495121574375,800,0.004828416975215077,6.035521219018847
euler_cromer,1.0,800,0.00125,800,0.00019957172906463083,800,0.004354583099484444,5.443228874355555
verlet,1.0,800,0.00125,800,0.00016222958957333612,1600,0.0080616669729352,10.077083716169
rk4,1.0,800,0.00125,800,3.7035287126881643e-09,3200,0.019902249914593995,24.877812393242493
euler,1.0,1600,0.000625,1600,0.2311580904198439,1600,0.008396666962653399,5.247916851658374
euler_cromer,1.0,1600,0.000625,1600,4.989550664391865e-05,1600,0.008458042051643133,5.286276282276958
verlet,1.0,1600,0.000625,1600,4.056004224536293e-05,3200,0.01575058395974338,9.844114974839613
rk4,1.0,1600,0.000625,1600,2.263999144662626e-10,6400,0.039899874944239855,24.93742184014991
euler,1.0,3200,0.0003125,3200,0.11914447144835079,3200,0.017306082998402417,5.408150937000755
euler_cromer,1.0,3200,0.0003125,3200,1.247403756778474e-05,3200,0.01805645797867328,5.6426431183354
verlet,1.0,3200,0.0003125,3200,1.0140175861121799e-05,6400,0.032222499954514205,10.06953123578569
rk4,1.0,3200,0.0003125,3200,1.4002960842642862e-11,12800,0.08035641605965793,25.111380018643104
euler,1.0,6400,0.00015625,6400,0.06051274757893848,6400,0.033715917030349374,5.26811203599209
euler_cromer,1.0,6400,0.00015625,6400,3.118519490241876e-06,6400,0.03395179193466902,5.304967489792034
verlet,1.0,6400,0.00015625,6400,2.535054230480746e-06,12800,0.07082533405628055,11.066458446293836
rk4,1.0,6400,0.00015625,6400,8.879745967551307e-13,25600,0.1730807910207659,27.043873596994672
euler,1.0,12800,7.8125e-05,12800,0.03049804281352509,12800,0.07490316696930677,5.851809919477091
euler_cromer,1.0,12800,7.8125e-05,12800,7.796304352794788e-07,12800,0.06879574991762638,5.374667962314561
verlet,1.0,12800,7.8125e-05,12800,6.337643134669738e-07,25600,0.12670779204927385,9.89904625384952
rk4,1.0,12800,7.8125e-05,12800,2.0111617167861303e-14,51200,0.35422491701319814,27.673821641656104
