approach,t,mean,q25,q75
A_flow_map,0.0,0.0,0.0,0.0
A_flow_map,0.004,1.770388738860619e-05,7.853823660699308e-06,2.3039078620596457e-05
A_flow_map,0.008,7.08545048517931e-05,3.146139958936676e-05,9.217284921185012e-05
A_flow_map,0.012,0.0001595346601354555,7.095085311093987e-05,0.000207483331784426
A_flow_map,0.016,0.00028383797930360674,0.0001265091275724441,0.00036908444263581916
A_flow_map,0.02,0.00044386862866277476,0.0001983799820864533,0.0005771226582898366
A_flow_map,0.024,0.000639739140639879,0.0002868611876447481,0.0008317765167645014
A_flow_map,0.028,0.0008715681971912213,0.0003923011537218641,0.0011332560127002879
A_flow_map,0.032,0.001139478501868027,0.0005150950541195119,0.0014818018926511364
A_flow_map,0.036000000000000004,0.0014435947981469338,0.0006556805272855555,0.0018776848578642802
A_flow_map,0.04,0.0017840420435952919,0.0008145330300301555,0.0023212046828551816
A_flow_map,0.044,0.002160943727832247,0.0009921609245730826,0.0028126892589709425
A_flow_map,0.048,0.002574420317891221,0.0011891003774316615,0.003352493572908644
A_flow_map,0.052000000000000005,0.003024587818241566,0.0014059101451256836,0.003940998630808451
A_flow_map,0.056,0.0035115564384514,0.0016431663164919047,0.0045786103390858925
A_flow_map,0.06,0.004035429366490225,0.0019014570749400252,0.005265758353567803
A_flow_map,0.064,0.00459630164913159,0.0021813775367266392,0.006002894908783406
A_flow_map,0.068,0.005194259182874597,0.0024835247136413955,0.006790493639419832
A_flow_map,0.07200000000000001,0.0058293778196262655,0.002808492640721227,0.0076290484059813035
A_flow_map,0.076,0.006501722591443647,0.0031568677020523154,0.008519072136600324
A_flow_map,0.08,0.007211347058245922,0.0035292241805569427,0.009461095696756247
A_flow_map,0.084,0.00795829278177283,0.003930465295145768,0.010455666798331403
A_flow_map,0.088,0.008742588928340586,0.004358488375001299,0.011503348959032454
A_flow_map,0.092,0.00956425200220182,0.004813226277881537,0.012604720522698863
A_flow_map,0.096,0.010423285710606706,0.005295253042976943,0.013760373750417935
A_flow_map,0.1,0.011319680961000316,0.005805115361713695,0.014970913991716175
A_flow_map,0.10400000000000001,0.012253415990194236,0.006343330037649001,0.01623695894435281
A_flow_map,0.108,0.013224456624800915,0.006910381689500569,0.01755913801045339
A_flow_map,0.112,0.014232756671732053,0.0075067206849522335,0.018938091755880997
A_flow_map,0.116,0.015278258437109463,0.008132761291652517,0.020374471478864776
A_flow_map,0.12,0.016360893371527158,0.008788880030804701,0.02186893889298281
A_flow_map,0.124,0.017480582839225465,0.009475414217878777,0.02342216592866116
A_flow_map,0.128,0.018637239008386892,0.010192660674215516,0.025034834656383863
A_flow_map,0.132,0.0198307658594441,0.010940874592599823,0.026707637333829554
A_flow_map,0.136,0.021061060307994782,0.01172026853922231,0.028441276578161565
A_flow_map,0.14,0.02232801343865761,0.01253101157380311,0.03023646566369447
A_flow_map,0.14400000000000002,0.02363151184597418,0.013373228468993905,0.032093928944159744
A_flow_map,0.148,0.024971439078271738,0.014246999009484012,0.034014402397778094
A_flow_map,0.152,0.026347677180252594,0.015152357350523187,0.03599863429233299
A_flow_map,0.156,0.02776010832996631,0.016089291414798902,0.03804738596641928
A_flow_map,0.16,0.029208616565748642,0.01705774230580166,0.04016143272201551
A_flow_map,0.164,0.030693089598661145,0.01805760371496089,0.042341564822492336
A_flow_map,0.168,0.032213420705906985,0.01908872129894856,0.04458858858912407
A_flow_map,0.17200000000000001,0.03376951070059479,0.02015089200264975,0.046903327588110416
A_flow_map,0.176,0.03536126997298893,0.02124386330239719,0.049286623899032406
A_flow_map,0.18,0.036988620597924314,0.022367332343194685,0.05173933945456602
A_flow_map,0.184,0.038651498502213805,0.023520944942841782,0.05423728991260858
A_flow_map,0.188,0.04034985568443339,0.024704294435162096,0.056801340517603584
A_flow_map,0.192,0.042083662477155094,0.025916920323976727,0.05943452222539702
A_flow_map,0.196,0.04385290983816328,0.02715830671912674,0.06213766387995798
A_flow_map,0.2,0.04565761165203225,0.02842788052579289,0.06491162186325766
A_flow_map,0.20400000000000001,0.04749780701620131,0.029725009358690446,0.06775728190313167
A_flow_map,0.20800000000000002,0.04937356247592117,0.031048999153537357,0.07067556087093234
A_flow_map,0.212,0.05128497415982031,0.0323990914496233,0.07366740854856146
A_flow_map,0.216,0.053232169752260625,0.03358539606292333,0.07673380934257529
A_flow_map,0.22,0.05521531022049442,0.03460717898531015,0.07987447985433498
A_flow_map,0.224,0.05723459119498309,0.03563191415577163,0.08301865941540686
A_flow_map,0.228,0.059290243882187676,0.03665904166647185,0.08623426400347671
A_flow_map,0.232,0.06138253537396978,0.03768801942878993,0.08952222449078914
A_flow_map,0.23600000000000002,0.0635117682109131,0.03868946667183899,0.09288351732895891
A_flow_map,0.24,0.06567827906362489,0.039490082529076126,0.09631916614864348
A_flow_map,0.244,0.06788243642144721,0.04015854351571557,0.0998302431164951
A_flow_map,0.248,0.07012463722531775,0.04091064774323765,0.10341787000118857
A_flow_map,0.252,0.07240530245048096,0.04213842036846747,0.1070832188959256
A_flow_map,0.256,0.07472487172984912,0.04378726057100405,0.1108275125402304
A_flow_map,0.26,0.07708379719880845,0.04548543644114191,0.11465202417909381
A_flow_map,0.264,0.07948253682158642,0.047234484131174405,0.1185580768926522
A_flow_map,0.268,0.08192154751156619,0.04903596157483342,0.12254704232465677
A_flow_map,0.272,0.08440127837076702,0.05089144191661693,0.12662033873308015
A_flow_map,0.276,0.08692216434309502,0.05280250634597092,0.13077942828141229
A_flow_map,0.28,0.0894846205082338,0.0543093336887327,0.13502581348464765
A_flow_map,0.28400000000000003,0.09208903715331017,0.05548657060226124,0.1393610327197984
A_flow_map,0.28800000000000003,0.09473577566708474,0.056835860710509965,0.14378665470715712
A_flow_map,0.292,0.09742516522425362,0.05816762173416411,0.1483042718656914
