model,t,mean_error
linear,0.0,0.9404372315593624
linear,0.004,0.9338206799603517
linear,0.008,0.9272200025088632
linear,0.012,0.9206383573084608
linear,0.016,0.9140789893659729
linear,0.02,0.9075452334897186
linear,0.024,0.9010405170968993
linear,0.028,0.8945683629072588
linear,0.032,0.8881323914974801
linear,0.036000000000000004,0.8817363236879452
linear,0.04,0.875383982730549
linear,0.044,0.8690792962631668
linear,0.048,0.8628262979932018
linear,0.052000000000000005,0.8566291290694188
linear,0.056,0.850492039098025
linear,0.06,0.8444193867557793
linear,0.064,0.8384156399498401
linear,0.068,0.83248537547121
linear,0.07200000000000001,0.8266332780860755
linear,0.076,0.820864139007211
linear,0.08,0.815182853686015
linear,0.084,0.8095944188648488
linear,0.088,0.8041039288292658
linear,0.092,0.7987165708006466
linear,0.096,0.7934376194118237
linear,0.1,0.7882724302116787
linear,0.10400000000000001,0.7832264321495475
linear,0.108,0.7783051189967396
linear,0.112,0.7735140396706446
linear,0.116,0.7688587874368641
linear,0.12,0.7643449879765665
linear,0.124,0.7599782863197977
linear,0.128,0.7557643326606758
linear,0.132,0.751708767087076
linear,0.136,0.7478172032752987
linear,0.14,0.7440952112189526
linear,0.14400000000000002,0.7405482990804467
linear,0.148,0.7371818942725398
linear,0.152,0.7340013238957809
linear,0.156,0.73101179467476
linear,0.16,0.7282183725512362
linear,0.164,0.7256259621048267
linear,0.168,0.7232392859813935
linear,0.17200000000000001,0.7210628645151318
linear,0.176,0.7191009957321968
linear,0.18,0.7173577359213138
linear,0.184,0.71583688095009
linear,0.188,0.7145419484947871
linear,0.192,0.7134761613364036
linear,0.196,0.7126424318574676
linear,0.2,0.712043347852551
linear,0.20400000000000001,0.7116811597418798
linear,0.20800000000000002,0.7115577692522947
linear,0.212,0.7116747196040683
linear,0.216,0.7120331872164569
linear,0.22,0.7126339749202274
linear,0.224,0.7134775066423582
linear,0.228,0.7145638235073498
linear,0.232,0.7158925812815288
linear,0.23600000000000002,0.7174630490717595
linear,0.24,0.7192741091783353
linear,0.244,0.7213242579935821
linear,0.248,0.7236116078328947
linear,0.252,0.7261338895834648
linear,0.256,0.7288884560576653
linear,0.26,0.7318722859427943
linear,0.264,0.7350819882463628
linear,0.268,0.7385138071462123
linear,0.272,0.7421636271671711
linear,0.276,0.7460269786205784
linear,0.28,0.7500990432596467
linear,0.28400000000000003,0.7543746601221262
linear,0.28800000000000003,0.7588483315520056
linear,0.292,0.7635142294138404
linear,0.296,0.7683662015366752
linear,0.3,0.7733977784491365
linear,0.304,0.7786021804929456
linear,0.308,0.7839723254283837
linear,0.312,0.789500836671648
linear,0.316,0.7951800523298538
linear,0.32,0.8010020352237269
linear,0.324,0.8069585841096227
linear,0.328,0.8130412463299622
linear,0.332,0.8192413321328141
linear,0.336,0.8255499309052367
linear,0.34,0.8319579295590802
linear,0.34400000000000003,0.8384560332900893
linear,0.34800000000000003,0.8450347888993475
linear,0.352,0.8516846108186336
linear,0.356,0.8583958099169452
linear,0.36,0.8651586250839287
linear,0.364,0.8719632574879356
linear,0.368,0.8787999072939465
linear,0.372,0.8856588125032117
linear,0.376,0.8925302894473113
linear,0.38,0.8994047743411044
linear,0.384,0.9062728651796942
linear,0.388,0.9131253631629367
linear,0.392,0.9199533127561892
linear,0.396,0.9267480394564085
linear,0.4,0.9335011843353547
linear,0.404,0.9402047344810883
linear,0.40800000000000003,0.946851048556549
linear,0.41200000000000003,0.9534328768374263
linear,0.41600000000000004,0.9599433752744307
linear,0.42,0.9663761133375679
linear,0.424,0.9727250756291603
linear,0.428,0.978984657483594
linear,0.432,0.9851496549900582
linear,0.436,0.9912152500661111
linear,0.44,0.9971769913634244
linear,0.444,1.0030307718948415
linear,0.448,1.0087728043302129
linear,0.452,1.0143995949179085
linear,0.456,1.019907916953515
linear,0.46,1.025294784644048
linear,0.464,1.030557428113739
linear,0.468,1.0356932701756185
linear,0.47200000000000003,1.0406999053609827
linear,0.47600000000000003,1.045575081564599
linear,0.48,1.0503166845341378
linear,0.484,1.0549227253128073
linear,0.488,1.0593913306381542
linear,0.492,1.0637207362093224
linear,0.496,1.0679092826605208
linear,0.5,1.0719554140197571
linear,0.504,1.0758576783881595
linear,0.508,1.0796147305450412
linear,0.512,1.0832253361657338
linear,0.516,1.0866883773314453
linear,0.52,1.0900028590113249
linear,0.524,1.0931679162050123
linear,0.528,1.0961828214477176
linear,0.532,1.0990469923980497
linear,0.536,1.10175999925021
linear,0.54,1.1043215717358692
linear,0.544,1.106731605506242
linear,0.548,1.108990167711029
linear,0.552,1.1110975016175706
linear,0.556,1.1130540301405414
linear,0.56,1.1148603581796803
linear,0.5640000000000001,1.1165172736902889
linear,0.5680000000000001,1.1180257474385331
linear,0.5720000000000001,1.119386931420774
linear,0.5760000000000001,1.1206021559530577
linear,0.58,1.1216729254631443
linear,0.584,1.1226009130426078
linear,0.588,1.1233879538400355
linear,0.592,1.1240360373975598
linear,0.596,1.1245472990512635
linear,0.6,1.1249240105308158
linear,0.604,1.1251685699046248
linear,0.608,1.1252834910234653
linear,0.612,1.125271392617932
linear,0.616,1.1251349872032392
linear,0.62,1.1248770699391497
linear,0.624,1.124500507583615
linear,0.628,1.124008227666656
linear,0.632,1.1234032079967595
linear,0.636,1.1226884665963066
linear,0.64,1.1218670521460044
linear,0.644,1.120942035001581
linear,0.648,1.1199164988296775
linear,0.652,1.1187935328944607
linear,0.656,1.1175762250122503
linear,0.66,1.116267655178776
linear,0.664,1.1148708898625923
linear,0.668,1.1133889769488579
linear,0.672,1.1118249413100252
linear,0.676,1.1101817809739907
linear,0.68,1.108462463855756
