model,threshold,label,time_to_threshold,orbits_never_exceeding
linear,0.001,0.1% of 1 AU,0.019650623438059088,0
linear,0.01,1% of 1 AU,0.06210242637327489,0
linear,0.1,10% of 1 AU,0.19173576783822124,0
poly2,0.001,0.1% of 1 AU,0.02837657413218274,0
poly2,0.01,1% of 1 AU,0.09070218169755456,0
poly2,0.1,10% of 1 AU,0.3123476912267251,0
forest,0.001,0.1% of 1 AU,0.007236391501576835,0
forest,0.01,1% of 1 AU,0.07643366275605581,0
forest,0.1,10% of 1 AU,0.38552716397980363,0
mlp,0.001,0.1% of 1 AU,0.0389490741023676,0
mlp,0.01,1% of 1 AU,0.37190529276947704,0
mlp,0.1,10% of 1 AU,0.9726163008623547,0
