model,t,mean,median,q25,q75,escaped_fraction
linear,0.0,0.0,0.0,0.0,0.0,0.0
linear,0.004,3.708092553608481e-05,4.1360788722379885e-05,2.0618169017923902e-05,5.361022056476248e-05,0.0
linear,0.008,0.0001483920200007401,0.0001654365099445809,8.246157656131775e-05,0.00021441867715376803,0.0
linear,0.012,0.00033413859893226174,0.0003722199539317097,0.0001855473872265066,0.00048240057559834526,0.0
linear,0.016,0.0005946325222540088,0.0006617137417680365,0.00032994815913587515,0.0008575514610488842,0.0
linear,0.02,0.0009302591154082271,0.0010339298877909608,0.0005157917428138519,0.0013398865998143492,0.0
linear,0.024,0.0013414589128531219,0.001488889097352206,0.0007432602186848007,0.0019294399379865277,0.0
linear,0.028,0.0018287161572676923,0.002026619854285329,0.0010125885778010598,0.0026262627541746974,0.0
linear,0.032,0.0023925497934951063,0.0026471573037511282,0.0013240631580116943,0.0034304220140594366,0.0
linear,0.036000000000000004,0.003033505758855675,0.0033512056473431005,0.0016780198499854835,0.004341998436103802,0.0
linear,0.04,0.003752150325455081,0.0041405357369786195,0.0020748420894158735,0.005361084279322627,0.0
linear,0.044,0.004549064412970337,0.005014415857951817,0.002514958653427851,0.006487780865463512,0.0
linear,0.048,0.0054248387688153755,0.005973274850413402,0.0030025845868510183,0.007722195849311943,0.0
linear,0.052000000000000005,0.006380069880143414,0.007017571279274526,0.00355120988370155,0.009064440252068345,0.0
linear,0.056,0.007415356472264915,0.008147789604523066,0.00415177326307956,0.01051462527385963,0.0
linear,0.06,0.00853129645765715,0.009364436100685864,0.004805764176737895,0.01207285890244075,0.0
linear,0.064,0.009728484219722704,0.010668034545498181,0.005514699052553156,0.013739242335994146,0.0
linear,0.068,0.011007508138561068,0.012059121698446272,0.006280116716353782,0.0155138662386568,0.0
linear,0.07200000000000001,0.012368948287985904,0.013538242590281902,0.007103574350722045,0.01739680684799553,0.0
linear,0.076,0.013813374251883864,0.0151059456448635,0.00798664384575895,0.019388121954108564,0.0
linear,0.08,0.015341343023237947,0.01676277765477313,0.00893090843818866,0.021487846770355125,0.0
linear,0.084,0.01695339696092807,0.018509278632087074,0.009937959566662784,0.0236888943990457,0.0
linear,0.088,0.01865006178828545,0.020345976555475147,0.011009393894432538,0.025983599710329507,0.0
linear,0.092,0.02043184462388573,0.022273382034453344,0.012146810467451478,0.028381954294480635,0.0
linear,0.096,0.022299232039758247,0.02429198291116351,0.013351807988003332,0.03088346464987672,0.0
linear,0.1,0.024252688145501935,0.026402238819481366,0.014625982192375202,0.03347873485321798,0.0
linear,0.10400000000000001,0.026292652699091888,0.028604575720611904,0.015970923326861636,0.03615919833373072,0.0
linear,0.108,0.028419539246700543,0.030899380433601895,0.017388213720263165,0.03893649157770842,0.0
linear,0.112,0.03063373329484847,0.03328699517842133,0.018879425453524203,0.04180963715067003,0.0
linear,0.116,0.03293559051879165,0.035767712148444014,0.020446118128663582,0.04477761661077733,0.0
linear,0.12,0.03532543501134827,0.038341768128305594,0.022089836739954367,0.04783937017228479,0.0
linear,0.124,0.03780355757646052,0.041009339172255514,0.023812109650618904,0.05099379638710333,0.0
linear,0.128,0.04037021407171567,0.04377053535725564,0.025614446678255683,0.054214466817364644,0.0
linear,0.132,0.04302562380387262,0.04662539562422166,0.027745469332489222,0.05755001383560316,0.0
linear,0.136,0.045769967981175344,0.049573882719978424,0.029709545115726165,0.06104037686328532,0.0
linear,0.14,0.04860338822590786,0.05261587825169796,0.03138576188275903,0.06460086477609107,0.0
linear,0.14400000000000002,0.051525985150270535,0.05575117786483699,0.033098685313972295,0.0682451710897033,0.0
linear,0.148,0.054537816998243005,0.058979486554880035,0.034924117424540047,0.07197972251483938,0.0
linear,0.152,0.057638898355658066,0.0623004141225503,0.03731741786040438,0.07580332222849852,0.0
linear,0.156,0.060829198930238325,0.06571347078155991,0.040032647173207786,0.07971472151661238,0.0
linear,0.16,0.06410864240285467,0.06921806292745525,0.04287610213886843,0.08371261891339801,0.0
linear,0.164,0.06747710535074658,0.07281348907566984,0.045874536999505194,0.0877956594022909,0.0
linear,0.168,0.07093441624290633,0.07649893597652521,0.04922352118959313,0.09196243368282558,0.0
linear,0.17200000000000001,0.07448035450726329,0.08027347491463499,0.052732706726256046,0.096211477507741,0.0
linear,0.176,0.078114649668715,0.08413605819995937,0.05640578327020679,0.1005412710945065,0.0
linear,0.18,0.08183698055643607,0.08808551585763189,0.06024642323850629,0.10495023861537227,0.0
linear,0.184,0.08564697457824787,0.0921205525236458,0.0642582794955836,0.10943674776996162,0.0
linear,0.188,0.08954420705915421,0.09623974455352996,0.06844498270964247,0.11399910944433647,0.0
linear,0.192,0.09352820064043532,0.10044153735128142,0.07281013833449229,0.11863557746038099,0.0
linear,0.196,0.09759842473494214,0.10472424292603694,0.07735732317288892,0.12334434841926267,0.0
linear,0.2,0.10175429503344582,0.1090860376842677,0.08209008147319677,0.1281235616426509,0.0
linear,0.20400000000000001,0.10599517305606856,0.11352496046567137,0.08701192050657287,0.13297129921529083,0.0
linear,0.20800000000000002,0.11032036574195558,0.11803891083140058,0.09212630556692808,0.13788558613245228,0.0
linear,0.212,0.11472912506944025,0.12262564761381148,0.09743665433062314,0.14286439055570319,0.0
linear,0.216,0.11922064769801159,0.12728278773754387,0.1014964821713705,0.14790562418037667,0.0
linear,0.22,0.12379407462242054,0.13200780532243303,0.10611655169597403,0.15300714271804,0.0
linear,0.224,0.12844849082826065,0.13679803107951766,0.11148056944760211,0.15816674649719925,0.0
linear,0.228,0.13318292493734907,0.14165065201223132,0.11580897579420953,0.16338218118540937,0.0
linear,0.232,0.13799634883022427,0.14706499874249546,0.11967480215714113,0.16875511044527453,0.0
linear,0.23600000000000002,0.14288767723209145,0.1530770125106977,0.12359256574335478,0.17416757545335562,0.0
linear,0.24,0.14785576724761063,0.15921355684297667,0.1275616163056023,0.1796302427412908,0.0
linear,0.244,0.15289941782907107,0.1654728971509511,0.13158130692052766,0.1851401443142213,0.0
linear,0.248,0.1580173691617756,0.17185309134739837,0.13565099471526343,0.19069422920530424,0.0
linear,0.252,0.16320830194991748,0.1783519803030525,0.13977004156376882,0.19628936530780622,0.0
linear,0.256,0.16847083658594567,0.18496717764057524,0.1439378147468978,0.2019223414560989,0.0
linear,0.26,0.17380353218645808,0.1916960588438945,0.1481536875699754,0.20758986976219101,0.0
linear,0.264,0.17920488547813226,0.19762988476043195,0.15241703993148667,0.21328858821438396,0.0
linear,0.268,0.184673329518219,0.20270085933266108,0.1567272588363456,0.21901506354455427,0.0
linear,0.272,0.19020723223581032,0.20777570486593971,0.16108373884711677,0.22476579437043,0.0
linear,0.276,0.19580489478260943,0.21337588945306096,0.1654858824665118,0.23053721461903032,0.0
linear,0.28,0.20146454968543703,0.22086726821855795,0.16993310044449925,0.2379311801222803,0.0
linear,0.28400000000000003,0.20718435879740044,0.22905705852328184,0.17442481200343365,0.24485581719275634,0.0
linear,0.28800000000000003,0.21296241105071564,0.23644689006622743,0.1789604449747507,0.2506668455351156,0.0
linear,0.292,0.21879672002182815,0.24393840936320835,0.18353943584099583,0.2564907086752511,0.0
linear,0.296,0.22468522132891064,0.2503292640799692,0.188161229677255,0.26267716703382304,0.0
linear,0.3,0.23062576989321956,0.25584145819030235,0.19282527998644827,0.27129003439947724,0.0
linear,0.304,0.23661613710931437,0.2613389475271942,0.19753104842344166,0.2799795393081512,0.0
linear,0.308,0.24265400798487496,0.2668176253777106,0.20227800440352606,0.29050240037402925,0.0
