model,orbit,final_error,escaped,escape_time,growth_rate,e_folding_time,decade_time,r_squared,horizon_0.001,horizon_0.01,horizon_0.1
linear,0,0.8242220677804102,False,inf,0.2910687855611138,3.435614018426021,7.910793624109127,0.2014797142559841,0.016213225726445728,0.051437293730498095,0.1661999270771708
linear,1,0.9562259308590083,False,inf,0.3830874371707017,2.610370121728647,6.010599329489436,0.3074599573713296,0.02045214607628427,0.06443615354300407,0.19754160648342503
linear,2,0.7242403097920422,False,inf,0.3003614990110873,3.329321511886205,7.666046083053575,0.2054438001540746,0.01757301325919968,0.05590195781663766,0.17726687852704853
linear,3,2.0105920066438157,False,inf,0.5577379331521565,1.7929567643863127,4.128435518058762,0.35867245339204856,0.03579016874771279,0.10814871587649773,0.290097005751599
linear,4,1.5006497917955017,False,inf,0.4377429268663679,2.284445821109236,5.260130893438669,0.44715063386698395,0.016944161416732054,0.05399139028141592,0.17734529586396283
linear,5,1.2264707598482154,False,inf,0.47582173504351755,2.101627408652407,4.839175942190739,0.4919743505629157,0.018885614232473615,0.059768699203545717,0.18592992919301746
linear,6,1.2144075214371595,False,inf,0.24096141818932287,4.15004197565895,9.555824788451858,0.09363435786431462,0.03887837650414631,0.09534640687844215,0.21329685277733207
linear,7,1.2488644072908177,False,inf,0.4590935666920779,2.178205212513286,5.01550285181502,0.4509635470136545,0.018402625332190264,0.058352731831560346,0.18273246257100037
linear,8,0.8047381710580616,False,inf,0.2349366865237132,4.256465921932826,9.800874980679682,0.13071636496544892,0.017252731292963834,0.05486702747621214,0.17478749902565247
linear,9,1.457609760229065,False,inf,0.47703486170645126,2.096282851158499,4.826869643776616,0.49622737764988945,0.017214639846803104,0.05464550996206227,0.17187468358593885
linear,10,0.8472248089973775,False,inf,0.21362226996510328,4.681159881707825,10.77876896154221,0.0870386879473376,0.020415632643644564,0.06490598985280611,0.21391591774055727
linear,11,0.8893591601560662,False,inf,0.2512604104113696,3.979934595994554,9.16413807182834,0.1478028871027396,0.016822679223915164,0.0535238032270497,0.17322480448187524
linear,12,1.250247952601676,False,inf,0.2485415735999507,4.023471749678334,9.264386072892004,0.08297154323956824,0.04617952619823963,0.10040137582103868,0.21553680279514822
linear,13,1.0509838885936649,False,inf,0.195314034314519,5.1199597791814355,11.789143064272261,0.08845949464672054,0.017082890017830307,0.054386002638691415,0.17574586318933397
linear,14,0.8556673346362315,False,inf,0.21124744548050967,4.733785053473052,10.89994289756507,0.07763214648721539,0.03731240578140572,0.09160075925799167,0.20619761388626348
linear,15,1.308106920810273,False,inf,0.12428507932198923,8.046018117824657,18.526641376063065,0.027326454837516168,0.02060862970251222,0.06540037990563417,0.21012899669758192
linear,16,1.793481075066603,False,inf,0.6218059684641392,1.6082187221039388,3.703060455790464,0.5544321382991964,0.02386629775693908,0.07634218314015721,0.30421324656754517
linear,17,2.121857757910167,False,inf,0.5075752587584873,1.9701511898865356,4.536440760777219,0.35724417546591536,0.026070256330302747,0.08154635210058475,0.23953323165131077
linear,18,0.7799481427993934,False,inf,0.19044509769821125,5.250857134609207,12.090545363592591,0.03747925112761641,0.048126702972136705,0.13422977388846719,0.2916885419611809
linear,19,0.6525257021047773,False,inf,0.2255579748217579,4.433449984600311,10.208395845075358,0.12412932255921583,0.016032959148763074,0.05069033451562872,0.16085434740757257
poly2,0,100.0,True,2.576,1.5393147383334496,0.6496397228565858,1.4958507416663578,0.7261148266699167,0.026155527063483057,0.08188186800648747,0.240881012414166
poly2,1,2.104081195409347,False,inf,0.6420917778278081,1.5574097575007,3.5860684913045837,0.33659691400419345,0.05098651592324855,0.14501235537959295,0.36690593676808775
poly2,2,100.0,True,2.972,1.7959911018600274,0.5567956316511506,1.2820693212841432,0.7215192430485019,0.08157566192153033,0.18739009467967116,0.3658906222370967
poly2,3,2.7398724831888197,False,inf,1.2521082212550205,0.7986530101988102,1.8389665157586021,0.609572057715502,0.06399777553251886,0.23339843832003396,0.4069505768099911
poly2,4,100.0,True,2.7760000000000002,1.581174149862971,0.6324414044377482,1.4562501500505776,0.7667755958829399,0.02321836859246115,0.07332723352586361,0.22814424645382542
poly2,5,100.0,True,2.436,1.6863168487733446,0.5930083665637432,1.3654522248704242,0.697451374149976,0.02778858399327701,0.08909998754847157,0.6671652689387328
poly2,6,2.6223770494218224,False,inf,0.46803061419393743,2.136612370372915,4.9197317935273475,0.16946542994276803,0.03178277866033576,0.09818994019909594,0.2964153839955152
poly2,7,100.0,True,2.468,1.7899709476541656,0.5586682852649331,1.28638126557958,0.6923152302144984,0.031814429159556866,0.10328256054811369,0.7483970086224739
poly2,8,100.0,True,2.92,1.7101378008299406,0.5847481995396475,1.3464324874151001,0.7388659014325626,0.05318707859493424,0.14564165899117495,0.33350193819556484
poly2,9,100.0,True,1.952,1.3945794547550352,0.7170620480535151,1.6510963825998042,0.6228956621638366,0.0182829310345422,0.05845649223979233,0.20297569727051665
poly2,10,2.592603276671636,False,inf,0.4603492056711889,2.172263984993741,5.0018226698944295,0.27651316382446955,0.02422127793996541,0.07627008715223065,0.23525983827920652
poly2,11,100.0,True,3.468,1.558783291282959,0.6415259937620633,1.4771681900047182,0.797597675689081,0.02625765534424372,0.08226366316172205,0.24329211723924626
poly2,12,2.7594827173888903,False,inf,0.437174287924116,2.287417232949387,5.266972822046947,0.1508233325441537,0.02866370121272893,0.08932009938151865,0.26614959485516876
poly2,13,3.687550849411852,False,inf,0.9221029462976245,1.0844776106780087,2.4971019800329834,0.4336380969113707,0.02716732281377849,0.08489231921949127,0.24933016985099946
poly2,14,1.609016308053674,False,inf,0.543456592620545,1.8400733629488326,4.236925495541405,0.19399643782758103,0.04237363908651719,0.12328116627965391,0.5033573849152467
poly2,15,2.7170021298432423,False,inf,0.47869187496882887,2.089026474629671,4.810161219352186,0.2774875723618556,0.025519469800577652,0.08032480608696897,0.24450200265743624
poly2,16,4.043467005339797,False,inf,1.1713547752328828,0.8537123176888788,1.9657452564158093,0.6315438421236967,0.026930499072894368,0.08564864717556939,0.28851112627918174
poly2,17,1.3355944251216925,False,inf,0.7183737599177553,1.3920330276463428,3.205274498413838,0.3124291807791548,0.0522837956342471,0.13921666593990786,0.32827999845793504
poly2,18,2.658989205252665,False,inf,0.7299995122250825,1.369863929020911,3.154228262393803,0.3287779331750489,0.032709328455199776,0.10493873983915848,0.3929506041608544
poly2,19,100.0,True,2.024,1.6220389701275593,0.616507999139724,1.4195621285307145,0.6269426452136531,0.028089447051636546,0.09208426401359046,0.5208123457221732
forest,0,1.1090030473497365,False,inf,0.8586988796553171,1.1645525849543454,2.681481422123558,0.8166197428393279,0.007658480328774623,0.08038108945122037,1.525563339013914
forest,1,1.3227984807885163,False,inf,0.4974518887019493,2.010244654230582,4.628759374102308,0.463389752153082,0.004442537660332625,0.03680807830678531,0.2780998660612891
forest,2,1.9593535645145803,False,inf,0.7823537520899307,1.2781941638659784,2.9431508276697906,0.7436784661752882,0.004269789759217195,0.038012424562825275,0.3761966768778184
forest,3,2.0444900194651408,False,inf,0.7224696094283587,1.3841412662205022,3.1871030461972314,0.6428456207429127,0.010114011717897673,0.07140823023953437,0.3706889633974595
forest,4,1.0051647361135727,False,inf,0.9039379485301282,1.1062706257946975,2.547282251772065,0.7324524500312335,0.007833853934784384,0.284459893942887,0.6288351897948916
forest,5,0.22035910266885925,False,inf,0.062085976244465706,16.106696882118193,37.08704013813903,0.004520819727561798,0.01190242166069076,0.10971041070192172,0.33375399047219795
forest,6,1.13774737838529,False,inf,0.6605851705830177,1.5138093383437936,3.485674816105599,0.524133127647211,0.005781868836108032,0.1562671377831621,0.7421072288238475
forest,7,1.7262201196939326,False,inf,0.8564761468084846,1.1675748399139112,2.688440421340682,0.6865974547953224,0.01181642728179683,0.1326754611642223,0.8529088749834757
forest,8,1.7477242727610338,False,inf,0.6407582070677803,1.5606510989163478,3.593531955729558,0.7082751431207084,0.0033207910052112993,0.029466062904489283,0.2653744169366085
forest,9,0.13237998669681017,False,inf,0.5740595596303025,1.7419795267306504,4.011056090550818,0.5016214010057265,0.014940404989314657,0.08247170415922724,0.2876992608746857
forest,10,1.9706510334916678,False,inf,0.9448243505833759,1.0583977851359951,2.4370509625120578,0.6573586208191414,0.028314743543290923,0.24184848133550385,0.48156192676776305
forest,11,2.1306171491128136,False,inf,0.8520235478186508,1.1736764817829253,2.7024899709510617,0.7904720818736864,0.007826834865654839,0.07248623606089127,0.46337434086410434
forest,12,1.3950955902842346,False,inf,0.6362947369590656,1.571598729197618,3.618739806018821,0.6185518271013596,0.003815464745369446,0.034152001485688484,0.30393968197683024
forest,13,1.6247694608113357,False,inf,0.7727850314697288,1.2940209233842692,2.979593288207009,0.6814312909945235,0.006814302674379047,0.08353350930152287,0.407717324055621
forest,14,1.701009714223841,False,inf,0.9259871238622162,1.0799286234446568,2.486627549841247,0.8497621489386242,0.003526418633824861,0.03292609503037416,0.3933151933147068
forest,15,1.996763785107266,False,inf,0.6852204451397538,1.4593843588482616,3.3603566696326808,0.6598046724187813,0.003505335698941394,0.047654555237422826,0.37354719455867863
forest,16,0.9478995682487451,False,inf,0.9546972648969021,1.0474524613915073,2.411848423220006,0.8099482217526734,0.004324058311543261,0.04687828035592931,1.0013501687549597
forest,17,2.069785512219557,False,inf,0.7586524089384257,1.3181267049547625,3.035098901506197,0.6613610814148083,0.008444889618792995,0.10280984853550405,0.37773913464490044
forest,18,2.1996621111181427,False,inf,0.7843068064821858,1.275011247811622,2.935821892610778,0.7209195015876062,0.008256599350704153,0.08340859608974117,0.4064743692018428
forest,19,1.9287497045892796,False,inf,0.3916245886511587,2.553465816444826,5.879572324415727,0.2842841478044421,0.005133666484068747,0.040193957067419316,0.29032889763463204
mlp,0,2.3779274006360662,False,inf,1.2635860656139628,0.7913984074477038,1.822262175608311,0.8182157621366686,0.03811773419194544,0.4033682480602271,1.044243270212683
mlp,1,1.1744516395865032,False,inf,1.0895319130647494,0.9178253413313019,2.1133709489216277,0.6808061083225116,0.03971248338301085,0.3525862433428207,0.9115666965547388
