system,model,t_normalised,relative_error
projectile,linear,0.0,0.0
projectile,linear,0.005025125628140704,7.073084684013636e-18
projectile,linear,0.010050251256281407,1.5072001835693324e-17
projectile,linear,0.01507537688442211,2.0055932347281322e-17
projectile,linear,0.020100502512562814,2.671428994282657e-17
projectile,linear,0.02512562814070352,3.149184668885309e-17
projectile,linear,0.03015075376884422,3.827637229041581e-17
projectile,linear,0.035175879396984924,4.41400807233588e-17
projectile,linear,0.04020100502512563,5.110784859700815e-17
projectile,linear,0.04522613065326633,5.784124879079654e-17
projectile,linear,0.05025125628140704,6.182154906892441e-17
projectile,linear,0.05527638190954774,6.726834461390398e-17
projectile,linear,0.06030150753768844,6.92387417299938e-17
projectile,linear,0.06532663316582915,7.837197370726047e-17
projectile,linear,0.07035175879396985,7.821465366938336e-17
projectile,linear,0.07537688442211056,9.197348560991938e-17
projectile,linear,0.08040201005025126,9.61703189502419e-17
projectile,linear,0.08542713567839195,1.0008500579523548e-16
projectile,linear,0.09045226130653267,1.0801509935228935e-16
projectile,linear,0.09547738693467336,1.0911849704836437e-16
projectile,linear,0.10050251256281408,1.1573463233487752e-16
projectile,linear,0.10552763819095477,1.2369777979817393e-16
projectile,linear,0.11055276381909548,1.3153652958832026e-16
projectile,linear,0.11557788944723618,1.389772969952215e-16
projectile,linear,0.12060301507537688,1.4429525294340473e-16
projectile,linear,0.12562814070351758,1.4828564254508058e-16
projectile,linear,0.1306532663316583,1.5943177447028373e-16
projectile,linear,0.135678391959799,1.663584979199911e-16
projectile,linear,0.1407035175879397,1.7275404734952972e-16
projectile,linear,0.1457286432160804,1.7840974388274485e-16
projectile,linear,0.15075376884422112,1.890925736259897e-16
projectile,linear,0.15577889447236182,1.9087034727074092e-16
projectile,linear,0.16080402010050251,1.9404005844888943e-16
projectile,linear,0.1658291457286432,2.0982693876165193e-16
projectile,linear,0.1708542713567839,2.1044627063226793e-16
projectile,linear,0.17587939698492464,2.2105933179006557e-16
projectile,linear,0.18090452261306533,2.2363316949590735e-16
projectile,linear,0.18592964824120603,2.310945320135534e-16
projectile,linear,0.19095477386934673,2.41607634103892e-16
projectile,linear,0.19597989949748745,2.411525152569665e-16
projectile,linear,0.20100502512562815,2.4502485628796615e-16
projectile,linear,0.20603015075376885,2.617355060438948e-16
projectile,linear,0.21105527638190955,2.675024048240392e-16
projectile,linear,0.21608040201005024,2.817055157433994e-16
projectile,linear,0.22110552763819097,2.907996043612833e-16
projectile,linear,0.22613065326633167,2.9733162172965277e-16
projectile,linear,0.23115577889447236,3.055377081325198e-16
projectile,linear,0.23618090452261306,3.178081110512526e-16
projectile,linear,0.24120603015075376,3.206629643046781e-16
projectile,linear,0.24623115577889448,3.3285507701979995e-16
projectile,linear,0.25125628140703515,3.445756775545649e-16
projectile,linear,0.2562814070351759,3.5339531236816427e-16
projectile,linear,0.2613065326633166,3.5556029083084e-16
projectile,linear,0.2663316582914573,3.504004792372874e-16
projectile,linear,0.271356783919598,3.6689887494918416e-16
projectile,linear,0.2763819095477387,3.6901961245510844e-16
projectile,linear,0.2814070351758794,3.815199604340104e-16
projectile,linear,0.2864321608040201,3.862433608260882e-16
projectile,linear,0.2914572864321608,3.966619900458328e-16
projectile,linear,0.2964824120603015,4.0126295885292e-16
projectile,linear,0.30150753768844224,3.9911676436366457e-16
projectile,linear,0.3065326633165829,4.1211684258972105e-16
projectile,linear,0.31155778894472363,4.183799898290581e-16
projectile,linear,0.3165829145728643,4.2506986442106203e-16
projectile,linear,0.32160804020100503,4.358392250392678e-16
projectile,linear,0.32663316582914576,4.48022233494538e-16
projectile,linear,0.3316582914572864,4.53496958078386e-16
projectile,linear,0.33668341708542715,4.56072815707859e-16
projectile,linear,0.3417085427135678,4.721656961366676e-16
projectile,linear,0.34673366834170855,4.711920453720751e-16
projectile,linear,0.35175879396984927,4.775716994401813e-16
projectile,linear,0.35678391959798994,4.961959668881396e-16
