system,model,n_train,one_step_error,relative_error
projectile,linear,500,6.392159453897662e-15,9.115739161576211e-17
projectile,poly2,500,3.950766954340993e-09,5.6341149346622585e-11
projectile,forest,500,0.013829738520587744,0.00019722331699596415
projectile,mlp,500,0.0017725936739899264,2.5278627180833975e-05
projectile,linear,2000,6.308313573482196e-15,8.996168118151434e-17
projectile,poly2,2000,9.44516497699862e-10,1.3469573293556462e-11
projectile,forest,2000,0.006245005574144538,8.905885763187426e-05
projectile,mlp,2000,0.0015273711243271233,2.1781554219207928e-05
projectile,linear,8000,7.55688456778488e-15,1.077673188394315e-16
projectile,poly2,8000,2.2349170672236265e-10,3.187173470796781e-12
projectile,forest,8000,0.002369063600533642,3.378477335461509e-05
projectile,mlp,8000,0.0012523828047834677,1.785999717495797e-05
projectile,linear,20000,9.098781174403572e-15,1.2975601824755564e-16
projectile,poly2,20000,9.118830813106748e-11,1.3004194239888538e-12
projectile,forest,20000,0.000747645632810082,1.0662034674107814e-05
projectile,mlp,20000,0.0005164469839746899,7.364953941856679e-06
planetary,linear,500,5.690524315059009e-05,5.6939724047756096e-05
planetary,poly2,500,3.4482025161664344e-05,3.450291903888632e-05
planetary,forest,500,0.0012920346956838507,0.0012928175851508
planetary,mlp,500,0.0002953851769784087,0.00029556416129246924
planetary,linear,2000,5.6981148390339555e-05,5.70156752811719e-05
planetary,poly2,2000,3.437892595506979e-05,3.4399757360840214e-05
planetary,forest,2000,0.0009389173632655406,0.0009394862864658943
planetary,mlp,2000,0.00015562952534361476,0.00015572382677108017
planetary,linear,8000,5.658536361424681e-05,5.6619650685101084e-05
planetary,poly2,8000,3.416831351882638e-05,3.41890173070812e-05
planetary,forest,8000,0.0005414640233764021,0.0005417921155569369
planetary,mlp,8000,0.00018240214687738216,0.0001825126707820546
planetary,linear,20000,5.6325663033926435e-05,5.635979274302442e-05
planetary,poly2,20000,3.418156305987664e-05,3.420227487649646e-05
planetary,forest,20000,0.00018605726992352697,0.00018617000859638078
planetary,mlp,20000,0.00012061433627115656,0.00012068742075855092
