system,offset,t_normalised,relative_separation,amplification
projectile,1e-10,0.0,0.0,0.0
projectile,1e-10,0.002506265664160401,3.5443309255893303e-13,0.00354433092558933
projectile,1e-10,0.005012531328320802,7.088788539622627e-13,0.007088788539622627
projectile,1e-10,0.0075187969924812035,1.063325407246494e-12,0.01063325407246494
projectile,1e-10,0.010025062656641603,1.4177577079245255e-12,0.014177577079245255
projectile,1e-10,0.012531328320802004,1.772190800438174e-12,0.01772190800438174
projectile,1e-10,0.015037593984962407,2.126638145507079e-12,0.021266381455070787
projectile,1e-10,0.017543859649122806,2.4810823233548095e-12,0.024810823233548093
projectile,1e-10,0.020050125313283207,2.835515415849051e-12,0.02835515415849051
projectile,1e-10,0.022556390977443608,3.189961177315275e-12,0.03189961177315275
projectile,1e-10,0.02506265664160401,3.5443942698113134e-12,0.035443942698113136
projectile,1e-10,0.027568922305764413,3.898843198511937e-12,0.03898843198511937
projectile,1e-10,0.030075187969924814,4.253276291014158e-12,0.042532762910141575
projectile,1e-10,0.03258145363408521,4.6077062162802584e-12,0.04607706216280258
projectile,1e-10,0.03508771929824561,4.962151977735839e-12,0.049621519777358396
projectile,1e-10,0.03759398496240601,5.3165850702419404e-12,0.0531658507024194
projectile,1e-10,0.040100250626566414,5.671030831698102e-12,0.05671030831698102
projectile,1e-10,0.042606516290726815,6.025482927636841e-12,0.0602548292763684
projectile,1e-10,0.045112781954887216,6.379909685660365e-12,0.06379909685660365
projectile,1e-10,0.047619047619047616,6.734361781599104e-12,0.06734361781599103
projectile,1e-10,0.05012531328320802,7.088788539622627e-12,0.07088788539622627
projectile,1e-10,0.05263157894736842,7.443234301085258e-12,0.07443234301085258
projectile,1e-10,0.055137844611528826,7.797686397023874e-12,0.07797686397023874
projectile,1e-10,0.05764411027568923,8.152113155047286e-12,0.08152113155047286
projectile,1e-10,0.06015037593984963,8.506552582028316e-12,0.08506552582028315
projectile,1e-10,0.06265664160401002,8.860998343485891e-12,0.08860998343485892
projectile,1e-10,0.06516290726817042,9.215425101509416e-12,0.09215425101509415
projectile,1e-10,0.06766917293233082,9.569877197448155e-12,0.09569877197448155
projectile,1e-10,0.07017543859649122,9.924303955471678e-12,0.09924303955471679
projectile,1e-10,0.07268170426065163,1.0278756051410417e-11,0.10278756051410418
projectile,1e-10,0.07518796992481203,1.0633182809433942e-11,0.10633182809433941
projectile,1e-10,0.07769423558897243,1.0987634905372679e-11,0.10987634905372679
projectile,1e-10,0.08020050125313283,1.1342074332360887e-11,0.11342074332360888
projectile,1e-10,0.08270676691729323,1.1696526428299411e-11,0.11696526428299411
projectile,1e-10,0.08521303258145363,1.2050965855273682e-11,0.1205096585527368
projectile,1e-10,0.08771929824561403,1.2405367275407867e-11,0.12405367275407866
projectile,1e-10,0.09022556390977443,1.275981937132073e-11,0.1275981937132073
projectile,1e-10,0.09273182957393483,1.3114284136223196e-11,0.13114284136223195
projectile,1e-10,0.09523809523809523,1.3468723563198208e-11,0.13468723563198207
projectile,1e-10,0.09774436090225563,1.382315032122173e-11,0.1382315032122173
projectile,1e-10,0.10025062656641603,1.4177577079245253e-11,0.14177577079245254
projectile,1e-10,0.10275689223057644,1.4532016506231909e-11,0.1453201650623191
projectile,1e-10,0.10526315789473684,1.4886468602170516e-11,0.14886468602170516
projectile,1e-10,0.10776942355889724,1.5240933367082535e-11,0.15240933367082532
projectile,1e-10,0.11027568922305765,1.5595372794047748e-11,0.1559537279404775
projectile,1e-10,0.11278195488721804,1.5949774214155942e-11,0.15949774214155943
projectile,1e-10,0.11528822055137845,1.630422631009457e-11,0.16304226310094572
projectile,1e-10,0.11779448621553884,1.6658665737070783e-11,0.16658665737070782
projectile,1e-10,0.12030075187969926,1.701310516405663e-11,0.1701310516405663
projectile,1e-10,0.12280701754385964,1.7367557259995273e-11,0.17367557259995273
projectile,1e-10,0.12531328320802004,1.7721996686971783e-11,0.17721996686971783
projectile,1e-10,0.12781954887218044,1.8076436113957356e-11,0.18076436113957356
projectile,1e-10,0.13032581453634084,1.8430850203018832e-11,0.1843085020301883
projectile,1e-10,0.13283208020050125,1.8785314967919448e-11,0.1878531496791945
projectile,1e-10,0.13533834586466165,1.913975439489631e-11,0.1913975439489631
projectile,1e-10,0.13784461152882205,1.9494193821881557e-11,0.19494193821881559
projectile,1e-10,0.14035087719298245,1.9848607910943356e-11,0.19848607910943358
projectile,1e-10,0.14285714285714285,2.0203072675843675e-11,0.20203072675843675
projectile,1e-10,0.14536340852130325,2.0557486764921236e-11,0.20557486764921235
projectile,1e-10,0.14786967418546365,2.091193886084436e-11,0.2091193886084436
projectile,1e-10,0.15037593984962405,2.1266365618867883e-11,0.21266365618867883
projectile,1e-10,0.15288220551378445,2.162083038376794e-11,0.2162083038376794
projectile,1e-10,0.15538847117794485,2.1975269810745358e-11,0.21975269810745357
projectile,1e-10,0.15789473684210525,2.2329696568768883e-11,0.2232969656876888
projectile,1e-10,0.16040100250626566,2.2684148664721774e-11,0.22684148664721776
projectile,1e-10,0.16290726817042608,2.303857542274508e-11,0.23038575422745078
projectile,1e-10,0.16541353383458646,2.3393027518669886e-11,0.23393027518669884
projectile,1e-10,0.16791979949874689,2.374747961462214e-11,0.23747479614622138
projectile,1e-10,0.17042606516290726,2.4101931710547364e-11,0.2410193171054736
projectile,1e-10,0.1729323308270677,2.4456358468570888e-11,0.24456358468570888
projectile,1e-10,0.17543859649122806,2.481078522659441e-11,0.24810785226594412
projectile,1e-10,0.1779448621553885,2.5165211984617934e-11,0.25165211984617936
projectile,1e-10,0.18045112781954886,2.551963874264146e-11,0.2551963874264146
projectile,1e-10,0.1829573934837093,2.5874116176495412e-11,0.25874116176495415
projectile,1e-10,0.18546365914786966,2.6228517596615962e-11,0.26228517596615963
projectile,1e-10,0.1879699248120301,2.658296969254246e-11,0.26582969692542463
projectile,1e-10,0.19047619047619047,2.6937447126396415e-11,0.26937447126396413
projectile,1e-10,0.1929824561403509,2.7291848546516483e-11,0.27291848546516484
projectile,1e-10,0.19548872180451127,2.764630064244346e-11,0.2764630064244346
projectile,1e-10,0.1979949874686717,2.8000727400466982e-11,0.28000727400466985
projectile,1e-10,0.20050125313283207,2.8355154158490507e-11,0.2835515415849051
projectile,1e-10,0.2030075187969925,2.870963159234446e-11,0.28709631592344464
projectile,1e-10,0.20551378446115287,2.9064058350367985e-11,0.2906405835036799
projectile,1e-10,0.2080200501253133,2.941848510839151e-11,0.2941848510839151
projectile,1e-10,0.21052631578947367,2.977293720434103e-11,0.2977293720434103
projectile,1e-10,0.2130325814536341,3.012733862443856e-11,0.3012733862443856
