n_train,repeat,model,rmse_x,rmse_y
100,0,linear,21.0938411832684,15.55073278144539
100,0,forest,19.572970767489956,13.248592240457144
100,1,linear,21.392800328307178,14.73941449719492
100,1,forest,17.42033450919393,12.540293717004767
100,2,linear,21.088099972977066,14.778965998599178
100,2,forest,16.411751854641647,12.815284923216568
100,3,linear,21.32856597179418,14.626484523985594
100,3,forest,15.022638743859506,12.548141439060764
100,4,linear,20.78836390131717,17.037692397618713
100,4,forest,13.403127945710937,15.179554161769454
500,0,linear,20.696624470502226,14.682671184547328
500,0,forest,8.56953457293321,7.35192212250297
500,1,linear,20.977171238403287,14.594712469525435
500,1,forest,10.430695522355425,8.214016606261135
500,2,linear,20.687114687942323,14.455701670578108
500,2,forest,7.7510070558893025,7.800805434713259
500,3,linear,20.97724090055137,14.499964968988348
500,3,forest,10.060976713331417,8.221118968431059
500,4,linear,21.004211421184188,14.513104464118848
500,4,forest,7.951247921108813,7.530041608328924
1000,0,linear,20.738083755902927,14.53930500719858
1000,0,forest,5.120942856368983,6.057287092512895
1000,1,linear,20.801366020861465,14.45227603002857
1000,1,forest,5.8823499593097255,6.364126844022425
1000,2,linear,20.844926356029507,14.486675183028522
1000,2,forest,5.01264216147234,6.706582360298363
1000,3,linear,20.664962580404012,14.597420854663953
1000,3,forest,5.0511666426043895,6.160959115498176
1000,4,linear,20.741768953747467,14.50535420298189
1000,4,forest,5.575554144202243,6.095661609876221
5000,0,linear,20.703203912444746,14.44166100085254
5000,0,forest,2.723352081922741,3.9992763041719837
5000,1,linear,20.683093389384318,14.448069742743405
5000,1,forest,2.8431357296631727,3.984609591638645
5000,2,linear,20.68603949838504,14.457064864992315
5000,2,forest,2.8582338113203183,4.061738653654619
5000,3,linear,20.66776330399257,14.442381454746558
5000,3,forest,2.966882399904221,4.178204719020512
5000,4,linear,20.685302514867743,14.442053121899466
5000,4,forest,2.8418388733712185,4.2294765093155755
10000,0,linear,20.67974209668926,14.447866504905887
10000,0,forest,2.04927720444151,3.442277969307945
10000,1,linear,20.69066249676634,14.436932321987738
10000,1,forest,2.0535503138264053,3.3652912623826507
10000,2,linear,20.696315417899235,14.442085735082163
10000,2,forest,2.0518135356332032,3.3704382359060565
10000,3,linear,20.686410685978547,14.442910556763355
10000,3,forest,2.0150157478915465,3.3411027650914837
10000,4,linear,20.688827371979386,14.44108029551064
10000,4,forest,2.075312672387533,3.39249783684623
