model,v0_low,v0_high,v0_centre,mean_radial,median_radial
linear,15.0,20.0,17.5,8.851488021379993,7.396087519127441
poly2,15.0,20.0,17.5,2.45705573924885,1.9053993347563596
forest,15.0,20.0,17.5,1.3198017574119425,1.1030254685738443
mlp,15.0,20.0,17.5,0.09964714864254134,0.09104239956377291
physics,15.0,20.0,17.5,6.151037215084239e-14,5.815129299303492e-14
linear,20.0,25.0,22.5,7.774135750164476,5.945874487738662
poly2,20.0,25.0,22.5,1.8232844523932483,1.4372026371389004
forest,20.0,25.0,22.5,1.6162856405260215,1.2330220118099164
mlp,20.0,25.0,22.5,0.09289525554147485,0.08586020018729311
physics,20.0,25.0,22.5,5.575415635548971e-14,5.1728291973635394e-14
linear,25.0,30.0,27.5,8.768274843254487,7.237327427734423
poly2,25.0,30.0,27.5,1.2753583589917723,1.0175756657348864
forest,25.0,30.0,27.5,2.080703119249971,1.7151589173256276
mlp,25.0,30.0,27.5,0.10791900750671517,0.09578141917345268
physics,25.0,30.0,27.5,5.216121415512043e-14,4.8485105935313943e-14
linear,30.0,35.0,32.5,11.970400423472645,10.726790406493933
poly2,30.0,35.0,32.5,1.366038764382148,1.1408432416783711
forest,30.0,35.0,32.5,2.365929902454195,1.9496494124639496
mlp,30.0,35.0,32.5,0.1082977237049131,0.0956359608346638
physics,30.0,35.0,32.5,5.0016349858835776e-14,4.4938668397781776e-14
linear,35.0,40.0,37.5,18.56888905830568,18.057857667875524
poly2,35.0,40.0,37.5,2.918779941337194,2.3304875470149398
forest,35.0,40.0,37.5,3.178190035616463,2.5920711027973997
mlp,35.0,40.0,37.5,0.16801889546197799,0.1301718005896451
physics,35.0,40.0,37.5,5.058532709634129e-14,4.4938668397781776e-14
linear,40.0,42.5,41.25,23.52266931553743,24.330816932939825
poly2,40.0,42.5,41.25,4.452675398300904,3.6769216690522155
forest,40.0,42.5,41.25,8.371910992857446,7.392372267088922
mlp,40.0,42.5,41.25,0.9601549735740137,0.3639247960034157
physics,40.0,42.5,41.25,5.154127611212016e-14,4.5496934130773415e-14
linear,42.5,45.0,43.75,28.110472248788195,28.874910675237395
poly2,42.5,45.0,43.75,5.660815306749252,4.569217548976443
forest,42.5,45.0,43.75,16.50695515686671,14.895435864602517
mlp,42.5,45.0,43.75,4.563222158476426,1.5282713693575598
physics,42.5,45.0,43.75,5.1566909283335306e-14,4.4938668397781776e-14
linear,45.0,47.5,46.25,32.49696688102496,32.71831495106792
poly2,45.0,47.5,46.25,7.067554490443326,5.755851906951271
forest,45.0,47.5,46.25,25.354950579310106,23.25420614731407
mlp,45.0,47.5,46.25,11.19931427558089,4.867603874389582
physics,45.0,47.5,46.25,5.5728964589903606e-14,4.973799150320701e-14
linear,47.5,50.0,48.75,38.92730635022567,38.67237258593539
poly2,47.5,50.0,48.75,8.856873689538887,6.6555201498236904
forest,47.5,50.0,48.75,35.41159613560222,32.78741145226702
mlp,47.5,50.0,48.75,20.806394086672015,13.05746839037623
physics,47.5,50.0,48.75,5.909391858351312e-14,5.51529477954916e-14
linear,50.0,52.5,51.25,43.98852897926009,42.35260303932907
poly2,50.0,52.5,51.25,10.27531958244981,7.523357994156612
forest,50.0,52.5,51.25,45.30140740214318,41.23615766637879
mlp,50.0,52.5,51.25,31.274444428339446,21.863601659914075
physics,50.0,52.5,51.25,6.314611734505379e-14,5.728578676879116e-14
linear,52.5,55.0,53.75,50.726109646981634,49.74139090510346
poly2,52.5,55.0,53.75,12.314771702125297,9.40527697065395
forest,52.5,55.0,53.75,56.56433961543025,52.00749081958628
mlp,52.5,55.0,53.75,43.34616171607312,37.20506348022062
physics,52.5,55.0,53.75,6.814802101122121e-14,5.88208462223344e-14
linear,55.0,57.5,56.25,58.95699646502089,57.01851439697377
poly2,55.0,57.5,56.25,14.049917663533536,9.808547125447898
forest,55.0,57.5,56.25,69.11408637687104,63.89425633491152
mlp,55.0,57.5,56.25,57.038185854044954,52.480005821348314
physics,55.0,57.5,56.25,7.56764900089112e-14,6.355287432313019e-14
linear,57.5,60.0,58.75,69.42130187018604,69.18609972892253
poly2,57.5,60.0,58.75,17.25304240768679,12.874068083884332
forest,57.5,60.0,58.75,85.39000950795936,83.33005596450604
mlp,57.5,60.0,58.75,74.1123463024634,75.28300625614813
physics,57.5,60.0,58.75,8.396238381706172e-14,7.553172887309252e-14
linear,60.0,62.5,61.25,76.59629320583615,76.24492410670705
poly2,60.0,62.5,61.25,19.66734887334909,14.70415858233958
forest,60.0,62.5,61.25,97.0501984887366,93.21084476935957
mlp,60.0,62.5,61.25,87.45151014341118,89.84480030609956
physics,60.0,62.5,61.25,9.078461502280241e-14,8.038873388460929e-14
linear,62.5,65.0,63.75,83.89076044226879,82.03387220524104
poly2,62.5,65.0,63.75,20.7174934394581,13.671783987261428
forest,62.5,65.0,63.75,108.59495695357785,103.36362563973296
mlp,62.5,65.0,63.75,101.00492483864846,102.47456029139903
physics,62.5,65.0,63.75,9.567555745811865e-14,8.526512829121202e-14
linear,65.0,67.5,66.25,96.65848200680723,97.68971915185593
poly2,65.0,67.5,66.25,24.569798401196245,17.31632627961939
forest,65.0,67.5,66.25,125.69858744589368,122.7825418070998
mlp,65.0,67.5,66.25,121.12206423407041,127.10257498216723
physics,65.0,67.5,66.25,1.0835665889596709e-13,1.0058299801521323e-13
linear,67.5,70.0,68.75,104.59619777290476,104.66141751538281
poly2,67.5,70.0,68.75,26.444463803069837,18.598797156019728
forest,67.5,70.0,68.75,137.54788768706945,133.71557749234142
mlp,67.5,70.0,68.75,134.45633263377204,142.3476874185189
physics,67.5,70.0,68.75,1.1329463256524677e-13,1.10990323433763e-13
linear,70.0,72.5,71.25,115.83152168560207,118.53267957805082
poly2,70.0,72.5,71.25,30.06589899398424,20.59124590930164
forest,70.0,72.5,71.25,155.66394891473774,153.69294789889688
mlp,70.0,72.5,71.25,153.92691341564887,166.96386610805746
physics,70.0,72.5,71.25,1.2830172321626935e-13,1.2058310082691391e-13
linear,72.5,75.0,73.75,124.05520639143842,125.20700626321192
poly2,72.5,75.0,73.75,33.04876409053626,22.94691081490093
forest,72.5,75.0,73.75,166.39257735156167,164.21790481956134
mlp,72.5,75.0,73.75,167.41712457914608,179.61456595790332
physics,72.5,75.0,73.75,1.3409526743971458e-13,1.2710574864626038e-13
linear,75.0,77.5,76.25,137.43561786237564,138.74836289482843
poly2,75.0,77.5,76.25,35.312102170647314,24.543629162332696
forest,75.0,77.5,76.25,188.34186104253268,181.61466959223407
mlp,75.0,77.5,76.25,191.1468164993568,202.6049285188284
physics,75.0,77.5,76.25,1.4980291274401267e-13,1.399606873320082e-13
linear,77.5,80.0,78.75,152.26761975815847,156.52286844615742
poly2,77.5,80.0,78.75,39.83727677449763,27.36366858364719
forest,77.5,80.0,78.75,207.8591186557378,203.05899092174667
mlp,77.5,80.0,78.75,212.15320816665644,228.3682833303319
physics,77.5,80.0,78.75,1.639288487348109e-13,1.6077746776921858e-13
