model,t_fraction_low,t_fraction_high,t_fraction_centre,mean_radial,extrapolating
linear,0.0,0.1,0.05,8.101232634401443,False
poly2,0.0,0.1,0.05,1.5247923647876802,False
forest,0.0,0.1,0.05,0.5814990688700823,False
mlp,0.0,0.1,0.05,0.11407022254581242,False
physics,0.0,0.1,0.05,6.716430475082728e-14,False
linear,0.1,0.2,0.15000000000000002,4.623380259156628,False
poly2,0.1,0.2,0.15000000000000002,0.8320445161924112,False
forest,0.1,0.2,0.15000000000000002,0.985521088798134,False
mlp,0.1,0.2,0.15000000000000002,0.0935451301297145,False
physics,0.1,0.2,0.15000000000000002,7.563984223093944e-14,False
linear,0.2,0.30000000000000004,0.25,4.315554388612147,False
poly2,0.2,0.30000000000000004,0.25,0.6046976888329163,False
forest,0.2,0.30000000000000004,0.25,1.2221745244251414,False
mlp,0.2,0.30000000000000004,0.25,0.08315727598262602,False
physics,0.2,0.30000000000000004,0.25,8.346878225281726e-14,False
linear,0.30000000000000004,0.4,0.35000000000000003,4.7673036510593105,False
poly2,0.30000000000000004,0.4,0.35000000000000003,0.8161708420517098,False
forest,0.30000000000000004,0.4,0.35000000000000003,1.4517345239837585,False
mlp,0.30000000000000004,0.4,0.35000000000000003,0.08774940905434683,False
physics,0.30000000000000004,0.4,0.35000000000000003,9.201653563284193e-14,False
linear,0.4,0.5,0.45,6.207099652652694,False
poly2,0.4,0.5,0.45,1.3280883161857264,False
forest,0.4,0.5,0.45,1.6469961965211126,False
mlp,0.4,0.5,0.45,0.08861048311419682,False
physics,0.4,0.5,0.45,1.003930807783347e-13,False
linear,0.5,0.6000000000000001,0.55,9.05889229651224,False
poly2,0.5,0.6000000000000001,0.55,1.8647636228226165,False
forest,0.5,0.6000000000000001,0.55,2.113454333910773,False
mlp,0.5,0.6000000000000001,0.55,0.11931515533616718,False
physics,0.5,0.6000000000000001,0.55,1.0768794226633188e-13,False
linear,0.6000000000000001,0.7000000000000001,0.6500000000000001,15.081094402717053,True
poly2,0.6000000000000001,0.7000000000000001,0.6500000000000001,2.5928564237794465,True
forest,0.6000000000000001,0.7000000000000001,0.6500000000000001,7.620823951732687,True
mlp,0.6000000000000001,0.7000000000000001,0.6500000000000001,1.0217616516180081,True
physics,0.6000000000000001,0.7000000000000001,0.6500000000000001,1.186837705468363e-13,True
linear,0.7000000000000001,0.8,0.75,22.6231506920615,True
poly2,0.7000000000000001,0.8,0.75,3.351393475797368,True
forest,0.7000000000000001,0.8,0.75,15.96980506751391,True
mlp,0.7000000000000001,0.8,0.75,4.035121532567534,True
physics,0.7000000000000001,0.8,0.75,1.2412465160227827e-13,True
linear,0.8,0.9,0.8500000000000001,33.43298340090696,True
poly2,0.8,0.9,0.8500000000000001,4.169521398574723,True
forest,0.8,0.9,0.8500000000000001,26.760203518720722,True
mlp,0.8,0.9,0.8500000000000001,10.801022699712744,True
physics,0.8,0.9,0.8500000000000001,1.340657532432165e-13,True
linear,0.9,1.0,0.95,45.828089164092844,True
poly2,0.9,1.0,0.95,5.035429363671375,True
forest,0.9,1.0,0.95,38.585791865387364,True
mlp,0.9,1.0,0.95,20.12292122443289,True
physics,0.9,1.0,0.95,1.424667206913049e-13,True
